CdAponOrNu;FZZ_URB_%;FZZ_RUR_%;FZZ_NAT_%;ID;Cod_Regiao;Cod_UF;TIPO;Cod_Mun
0;0,000000;96,997500;3,002500;3129;2;29;10;0
0;9,035570;90,964430;0,000000;3130;5;51;10;0
0;0,000000;0,000000;100,000000;3131;2;29;16;0
0;0,000000;19,612930;80,387070;3132;5;51;16;0
0;0,000000;100,000000;0,000000;3133;2;29;10;0
0;0,000000;100,000000;0,000000;3134;2;29;10;0
0;0,000000;0,000000;100,000000;3135;5;51;16;0
0;0,000000;100,000000;0,000000;3136;2;29;10;0
0;0,000000;100,000000;0,000000;3137;2;29;10;0
0;0,525660;2,515410;96,958930;3138;2;29;16;0
0;0,000000;0,000000;100,000000;3139;2;29;16;0
0;13,886770;84,948220;1,165010;3140;2;29;10;0
0;0,000000;28,749140;71,250860;3141;2;29;14;0
0;0,000000;48,817010;51,182990;3142;2;29;14;0
0;0,000000;100,000000;0,000000;3143;2;29;10;0
0;0,000000;100,000000;0,000000;3144;2;29;10;0
0;0,000000;92,065200;7,934800;3145;2;29;10;0
0;0,000000;100,000000;0,000000;3146;2;29;10;0
0;0,000000;46,674910;53,325090;3147;2;29;14;0
0;0,000000;100,000000;0,000000;3148;2;29;10;0
0;100,000000;0,000000;0,000000;3149;2;29;1;0
0;0,000000;47,838160;52,161840;3150;2;29;14;0
0;0,000000;1,678920;98,321080;3151;2;29;16;0
0;0,000000;46,500490;53,499510;3152;2;29;14;0
0;0,000000;0,000000;100,000000;3153;5;51;16;0
0;0,000000;6,735670;93,264330;3154;2;29;16;0
0;0,000000;76,821210;23,178790;3155;2;29;10;0
0;0,000000;100,000000;0,000000;3156;2;29;10;0
0;0,000000;0,000000;100,000000;3157;5;51;16;0
0;0,000000;13,829630;86,170370;3158;2;29;16;0
0;0,000000;94,022590;5,977410;3159;2;29;10;0
0;100,000000;0,000000;0,000000;3160;5;51;1;0
0;100,000000;0,000000;0,000000;3161;5;51;1;0
0;100,000000;0,000000;0,000000;3162;5;51;1;0
0;0,000000;0,000000;100,000000;3163;5;51;16;0
0;0,000000;100,000000;0,000000;3164;2;29;10;0
0;0,000000;100,000000;0,000000;3165;2;29;10;0
0;0,000000;100,000000;0,000000;3166;1;11;10;0
0;0,000000;0,000000;100,000000;3167;5;51;16;0
0;0,000000;64,606600;35,393400;3168;2;29;12;0
0;0,000000;100,000000;0,000000;3169;2;29;10;0
0;0,000000;35,280740;64,719260;3170;2;29;14;0
0;0,000000;100,000000;0,000000;3171;2;29;10;0
0;0,000000;0,000000;100,000000;3172;5;51;16;0
0;0,000000;71,816560;28,183440;3173;2;29;12;0
0;0,000000;0,000000;100,000000;3174;5;51;16;0
0;0,000000;100,000000;0,000000;3175;2;29;10;0
0;0,000000;0,000000;100,000000;3176;5;51;16;0
0;0,000000;100,000000;0,000000;3177;2;28;10;0
0;0,000000;100,000000;0,000000;3178;2;29;10;0
0;0,000000;1,768350;98,231650;3179;2;29;16;0
0;0,000000;100,000000;0,000000;3180;2;29;10;0
0;0,000000;64,222970;35,777030;3181;2;29;12;0
0;0,000000;0,000000;100,000000;3182;5;51;16;0
0;0,000000;0,000000;100,000000;3183;5;51;16;0
0;0,000000;92,432050;7,567950;3184;2;29;10;0
